id,game,platform,campaigncoop,lancoop,offlinecoop,offlinecoopmax,offlinemax,onlinecoop,onlinecoopmax,onlinemax,splitscreen,splitscreenonline,dropin
2,29314,12,1,0,1,4,4,0,,,1,,1
2,94534,13,0,0,0,0,4,0,0,0,0,,0
2,21887,12,0,0,1,2,0,1,2,0,1,,0
2,118661,6,0,0,0,,,0,,,0,,0
2,27569,49,0,0,1,0,0,0,0,0,0,,0
2,18638,6,1,1,0,0,0,1,4,0,0,,0
2,13894,8,1,0,1,2,0,0,0,0,0,,1
2,20449,9,1,0,1,2,0,0,0,0,0,,1
2,1369,6,0,1,0,0,0,1,2,0,0,,0
2,4271,50,0,0,0,,2,0,,,0,,0
2,134094,82,0,0,0,,2,0,,,1,,0
2,4039,8,0,0,1,4,4,0,,,0,,0
2,8846,8,0,0,1,4,4,0,,,0,,0
2,20427,38,1,1,0,0,0,0,0,0,0,,0
2,110568,,0,0,1,,,0,,,0,,0
2,2551,9,1,0,0,0,0,0,0,0,0,,0
2,7152,12,1,0,1,2,0,0,0,0,0,,1
2,16626,6,1,0,0,0,0,1,4,0,0,,1
2,10758,8,0,0,1,2,0,0,0,0,0,,0
2,115860,20,1,0,1,2,2,0,0,0,0,,0
2,110436,82,0,0,0,,,1,39,40,0,,0
2,51655,5,1,0,1,2,0,0,0,0,0,,1
2,21008,46,1,0,0,0,0,1,4,0,0,,0
2,35571,14,0,0,0,,2,0,,,1,,0
2,1527,5,1,0,1,2,0,0,0,0,0,,0
2,79511,19,0,0,0,,8,0,,,0,,0
2,2937,12,1,1,0,0,0,1,6,0,0,,0
2,21480,5,0,0,0,,,0,,,0,,0
2,784,14,0,0,0,,,0,,,0,,0
2,132156,49,1,0,0,,,1,12,12,0,,1
2,136103,46,1,0,0,,,1,12,12,0,,1
2,136104,6,1,0,0,,,1,12,12,0,,1
2,136106,6,1,0,1,,,0,12,12,0,,1
2,6400,24,0,0,0,,4,0,,,0,,0
2,137324,48,0,0,0,2,,1,,,0,,0
2,137325,130,1,0,1,2,2,0,,,0,,0
2,138906,167,0,0,0,,,0,,,0,,0
2,6147,6,1,0,1,4,0,1,4,0,1,,0
2,16533,6,0,0,0,0,0,1,8,0,0,,0
2,2118,6,0,0,0,0,0,1,4,0,0,,0
2,39177,34,0,0,0,0,0,1,3,0,0,,0
2,4707,5,1,0,1,2,0,0,0,0,0,,1
2,7402,9,1,1,1,4,0,1,4,0,1,,0
2,2042,6,1,1,1,4,0,1,4,0,0,,0
2,21167,9,0,0,1,4,0,0,0,0,1,,0
2,10237,8,1,1,1,4,0,1,4,0,0,,1
2,2249,12,1,0,1,2,0,0,0,0,0,,1
2,2249,9,1,0,1,2,0,0,0,0,0,,1
2,11172,,0,0,1,0,0,0,0,0,1,,0
2,5613,6,1,1,0,0,0,1,6,0,0,,1
2,1121,6,0,0,0,0,0,1,2,0,0,,1
2,42682,46,1,0,0,0,0,1,4,0,0,,1
2,20868,6,1,1,0,0,0,1,8,0,0,,1
2,34143,6,0,0,1,2,0,0,0,0,0,,1
2,30371,6,0,0,0,0,0,1,2,0,0,,0
2,879,6,0,1,0,0,0,0,0,0,0,,0
2,51681,72,0,0,0,0,0,0,0,0,0,,0
2,10184,6,0,1,1,2,0,1,2,0,0,,0
2,10389,6,0,1,0,0,0,1,2,0,0,,0
2,33452,6,0,0,1,4,0,0,0,0,0,,0
2,3224,6,1,0,0,0,0,1,4,0,0,,0
2,36240,6,1,1,0,0,0,1,6,0,0,,0
2,13208,6,0,0,0,0,0,0,0,0,0,,0
2,53019,6,0,0,0,,,1,,,0,,0
2,127340,,0,0,1,2,2,0,,,0,,0
2,82458,49,0,0,1,0,2,0,0,0,0,,0
2,17729,6,1,1,0,0,0,1,4,0,0,,0
2,86045,24,0,0,0,,,0,,,0,,0
2,33861,6,0,0,0,0,0,1,2,0,0,,0
2,21762,49,0,0,0,0,0,1,0,5,0,,0
2,82453,49,0,0,1,0,2,0,0,0,0,,0
2,52715,49,0,0,0,0,2,0,0,6,0,,0
2,83808,52,0,0,0,,,0,,,0,,1
2,38226,58,1,0,1,2,2,0,,,0,,0
2,83863,34,0,0,0,,,0,,,0,,0
2,20910,6,1,0,0,,,1,4,4,0,,0
2,22022,12,0,0,1,4,0,1,4,0,0,,0
2,132866,82,0,0,1,2,4,0,2,4,1,,0
2,4271,29,0,0,0,,2,0,,,0,,0
2,119426,,0,0,0,,,1,,,0,,0
2,76213,49,0,0,1,0,2,0,0,0,0,,0
2,7216,12,0,0,0,0,0,1,8,0,0,,1
2,14327,6,1,0,1,2,0,0,0,0,0,,0
2,117417,6,0,1,0,,,1,,15,0,,0
2,22383,6,1,0,0,0,0,1,4,0,0,,0
2,134286,39,0,0,0,,1,0,,2,0,,0
2,12571,48,1,0,0,0,0,1,2,0,0,,0
2,17683,6,1,0,1,2,0,0,0,0,1,,0
2,120355,34,0,0,0,0,1,0,0,0,0,,0
2,9265,6,1,0,0,0,0,1,4,0,0,,0
2,119,12,1,0,1,2,0,0,0,0,0,,0
2,1316,8,1,0,1,2,0,0,0,0,1,,0
2,141,11,1,0,1,2,0,0,0,0,1,,0
2,51648,6,1,0,1,2,0,1,4,0,1,,0
2,8244,32,0,0,0,,2,0,,,0,,1
2,16284,9,1,0,1,2,0,0,0,0,0,,1
2,134355,18,0,0,0,,4,0,,,0,,0
2,134407,14,0,0,0,,,0,,,0,,0
2,90701,49,0,0,1,0,2,1,0,4,0,,0
2,74556,,0,0,0,,,0,,12,0,,0
2,90662,49,0,0,1,0,3,1,0,6,0,,0
2,2641,6,0,0,1,2,4,1,2,4,0,,0
2,132849,5,1,0,1,4,4,0,,,0,,1
2,4561,37,0,0,1,2,2,0,,,0,,0
2,38535,52,0,0,0,,4,0,,,0,,0
2,137330,130,1,0,1,2,2,0,,,0,,0
2,86208,25,0,0,0,,,0,,,0,,0
2,51684,6,0,0,0,0,0,1,8,0,0,,0
2,35620,6,1,0,1,4,0,0,0,0,0,,0
2,55024,39,0,0,0,1,1,1,4,4,0,,0
2,55024,34,0,0,0,1,1,1,4,4,0,,0
2,107433,165,0,0,0,,1,0,,2,0,,0
2,9901,6,1,0,1,4,0,1,4,0,0,,0
2,36101,6,1,0,1,4,0,0,0,0,0,,0
2,35289,49,0,0,1,4,0,0,0,0,0,,1
2,16228,12,1,0,1,2,0,0,0,0,1,,0
2,3502,12,1,0,0,0,0,1,4,0,0,,0
2,1475,12,1,0,1,2,0,1,2,0,1,,0
2,4271,62,0,0,0,,2,0,,,0,,0
2,4438,12,1,0,1,2,0,1,2,0,0,,1
2,45883,30,0,0,0,,2,0,,,0,,0
2,134093,82,0,0,0,,,0,,,0,,0
2,10273,12,1,0,1,2,0,1,2,0,0,,0
2,4470,,0,0,0,,2,0,,,0,,0
2,6278,6,1,0,1,4,0,0,0,0,0,,0
2,23596,48,1,0,0,0,0,1,4,0,0,,0
2,51674,6,1,0,1,4,0,1,4,0,0,,0
2,51672,6,0,0,0,0,0,1,4,0,0,,1
2,2058,9,0,0,0,0,0,1,4,0,0,,0
2,8246,52,0,0,0,,2,0,,,0,,1
2,121950,,0,0,0,,,1,,,0,,0
2,3846,23,0,0,0,,2,0,,,0,,1
2,14177,3,1,1,1,4,0,1,4,0,1,,1
2,1274,6,0,0,0,0,0,1,16,0,0,,0
2,27677,12,1,0,1,2,0,0,0,0,0,,1
2,21583,46,1,0,0,0,0,1,4,0,0,,0
2,26183,6,1,0,0,0,0,1,2,0,0,,0
2,10231,12,1,0,0,0,0,0,0,0,0,,1
2,22164,37,0,0,0,0,0,0,0,0,0,,0
